Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Orchestra_Configure,Chrome 68.0.3440.106,,2018-09-17 09:39:39,2018-09-17 09:40:05,25.530s,FAILED
,,,,,,
Test Cases/Orchestra/Login,Chrome 68.0.3440.106,,2018-09-17 09:39:40,2018-09-17 09:39:52,12.121s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 09:39:40,2018-09-17 09:39:49,8.760s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 09:39:49,2018-09-17 09:39:50,1.135s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 09:39:50,2018-09-17 09:39:51,0.457s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 09:39:51,2018-09-17 09:39:52,1.293s,FAILED
,,,,,,
Test Cases/Orchestra/Login,Chrome 68.0.3440.106,,2018-09-17 09:39:52,2018-09-17 09:40:04,11.899s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 09:39:52,2018-09-17 09:40:00,8.016s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-17 09:40:00,2018-09-17 09:40:03,3.334s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-17 09:40:03,2018-09-17 09:40:04,0.178s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-17 09:40:04,2018-09-17 09:40:04,0.348s,FAILED
