Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Notification_Email_Service,,,2018-10-03 11:37:57,2018-10-03 11:38:05,8.430s,FAILED
,,,,,,
Test Cases/WebService/Notification/TC_checkCalendarJSON,,,2018-10-03 11:37:57,2018-10-03 11:37:59,1.130s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/checkCalJSON)),,,2018-10-03 11:37:58,2018-10-03 11:37:58,0.656s,PASSED
verifyResponseStatusCode,,,2018-10-03 11:37:58,2018-10-03 11:37:58,0.038s,PASSED
verifyElementPropertyValue,,,2018-10-03 11:37:58,2018-10-03 11:37:59,0.058s,PASSED
verifyElementPropertyValue,,,2018-10-03 11:37:59,2018-10-03 11:37:59,0.018s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyBody,,,2018-10-03 11:37:59,2018-10-03 11:37:59,0.794s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyBody)),,,2018-10-03 11:37:59,2018-10-03 11:37:59,0.533s,PASSED
verifyResponseStatusCode,,,2018-10-03 11:37:59,2018-10-03 11:37:59,0.005s,PASSED
verifyElementPropertyValue,,,2018-10-03 11:37:59,2018-10-03 11:37:59,0.035s,PASSED
verifyElementPropertyValue,,,2018-10-03 11:37:59,2018-10-03 11:37:59,0.028s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyFromEmail,,,2018-10-03 11:37:59,2018-10-03 11:38:00,0.855s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyFromEmail)),,,2018-10-03 11:37:59,2018-10-03 11:38:00,0.662s,PASSED
verifyResponseStatusCode,,,2018-10-03 11:38:00,2018-10-03 11:38:00,0.009s,PASSED
verifyElementPropertyValue,,,2018-10-03 11:38:00,2018-10-03 11:38:00,0.014s,PASSED
verifyElementPropertyValue,,,2018-10-03 11:38:00,2018-10-03 11:38:00,0.009s,PASSED
,,,,,,
Test Cases/WebService/Notification/TC_emptyQRCode,,,2018-10-03 11:38:00,2018-10-03 11:38:01,0.905s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(NotificationAPIs/emptyQR)),,,2018-10-03 11:38:00,2018-10-03 11:38:01,0.575s,PASSED
verifyResponseStatusCode,,,2018-10-03 11:38:01,2018-10-03 11:38:01,0.039s,PASSED
