Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Orchestra_Configure,Chrome 69.0.3497.100,,2018-10-10 13:46:36,2018-10-10 13:47:49,1m - 13.561s,PASSED
,,,,,,
Test Cases/Orchestra/TC_Login,Chrome 69.0.3497.100,,2018-10-10 13:46:37,2018-10-10 13:47:24,47.825s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 13:46:37,2018-10-10 13:47:11,34.254s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 13:47:11,2018-10-10 13:47:15,4.115s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 13:47:15,2018-10-10 13:47:16,0.708s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 13:47:16,2018-10-10 13:47:16,0.371s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 13:47:16,2018-10-10 13:47:24,7.984s,PASSED
,,,,,,
Test Cases/Orchestra/TC_Login,Chrome 69.0.3497.100,,2018-10-10 13:47:24,2018-10-10 13:47:49,24.299s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 13:47:24,2018-10-10 13:47:31,6.861s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-10 13:47:31,2018-10-10 13:47:37,6.156s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 13:47:37,2018-10-10 13:47:38,0.231s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 13:47:38,2018-10-10 13:47:38,0.212s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 13:47:38,2018-10-10 13:47:49,10.827s,PASSED
